"","LIB","Sample","PInumber","ISnum","WASAP","PlantName","Population","DuplicateLIBdecision","FilterMissing","Proportion.Missing","Proportion.Heterozygous","InbreedCoefficent","Kmeans_cluster","Germplasm","BotanicalType","CountryOrigin","Region","lat","lon","Elevation","Latitude"
"872","JBQJ","Mal023_489",NA,NA,"Ma023","09-SB-Caract-1013 (Zangasso)","Gates",NA,NA,0.1168550795,0.02416984055,1.268899,5,"Landrace",NA,"Mali",NA,NA,NA,NA,NA
"873","JBQK","Mal026_511",NA,NA,"Ma026","09-SB-Caract-1067 (Tourandinkô)","Gates",NA,NA,0.1035608093,0.01938435882,1.215285,17,"Landrace","Bicolor-durra","Mali",NA,NA,NA,NA,NA
"874","JBQL","Mal033_466",NA,NA,"Ma033","09-SB-Caract-1097 (Natari)","Gates",NA,NA,0.1929703082,0.03115478501,2.316225,10,"Landrace","Guinea","Mali",NA,NA,NA,NA,NA
"875","IZHN","Mal087_476",NA,NA,"Ma087","G1","Gates",NA,NA,0.09767173003,0.01677889403,1.001113,5,"Landrace","Guinea","Mali",NA,NA,NA,NA,NA
"876","JHGX","Mal090_505",NA,NA,"Ma090","G9","Gates",NA,NA,0.1060979872,0.02100945824,1.194715,17,"Landrace","Guinea","Mali",NA,NA,NA,NA,NA
"877","IZGZ","Mal116_468",NA,NA,"Ma116","Nioro36","Gates",NA,NA,0.1118277823,0.01935310015,1.256499,17,"Landrace","Guinea","Mali",NA,NA,NA,NA,NA
"878","IZHA","Mal119_480",NA,NA,"Ma119","Nioro47","Gates",NA,NA,0.101561881,0.02310676339,1.003923,5,"Landrace","Caudatum","Mali",NA,NA,NA,NA,NA
"879","IZHB","Mal124_518",NA,NA,"Ma124",NA,"Gates",NA,NA,0.1121309602,0.02100395362,1.328205,20,NA,NA,NA,NA,NA,NA,NA,NA
"880","JBQN","Mal125_490",NA,NA,"Ma125","Nioro73","Gates",NA,NA,0.09922771834,0.03803061302,0.990846,13,"Landrace",NA,"Mali",NA,NA,NA,NA,NA
"881","JBQP","Mal128_479",NA,NA,"Ma128","Nioro84","Gates",NA,NA,0.1071215215,0.01970574235,1.211582,17,"Landrace","Guinea-caudatum","Mali",NA,NA,NA,NA,NA
"882","IZLG","Mal158_488",NA,NA,"Ma158","M93","Gates",NA,NA,0.1135819607,0.02260693739,1.229318,17,"Landrace","Bicolor","Mali",NA,NA,NA,NA,NA
"883","JBQQ","Mal168_481",NA,NA,"Ma168","ANCESTRALE","Gates",NA,NA,0.1144581903,0.02910720553,1.144559,8,"Landrace","Guinea-caudatum","Mali",NA,NA,NA,NA,NA
"884","IZHP","Mal169_473",NA,NA,"Ma169","SABA KORE","Gates",NA,NA,0.07631735661,0.04242738197,0.936253,20,"Landrace","Guinea-caudatum","Mali",NA,NA,NA,NA,NA
"885","JBQR","Mal172_497",NA,NA,"Ma172","HOMO BIBO","Gates",NA,NA,0.1188804072,0.02100374075,1.254235,13,"Landrace","Bicolor","Mali",NA,NA,NA,NA,NA
"886","JHGY","Mal173_477",NA,NA,"Ma173","ABAKARI","Gates",NA,NA,0.1158130768,0.0217525496,1.286897,4,"Landrace","Bicolor","Mali",NA,NA,NA,NA,NA
"887","JBQS","Mal179_520",NA,NA,"Ma179","KENIKEBA","Gates",NA,NA,0.1113010407,0.01985059004,1.191933,17,"Landrace","Guinea","Mali",NA,NA,NA,NA,NA
"888","IZHC","Mal181_492",NA,NA,"Ma181","SOROSSOKO-OU","Gates",NA,NA,0.1159155688,0.02097677708,1.291604,4,"Landrace","Guinea","Mali",NA,NA,NA,NA,NA
"889","JBQT","Mal182_516",NA,NA,"Ma182",NA,"Gates",NA,NA,0.1165268054,0.02030806535,1.185794,17,"Landrace",NA,"Mali",NA,NA,NA,NA,NA
"890","IZHD","Mal189_521",NA,NA,"Ma189","KELEKERI","Gates",NA,NA,0.08391671687,0.03884783181,0.848777,8,"Landrace","Guinea","Mali",NA,NA,NA,NA,NA
"891","JBQW","Mal191_493",NA,NA,"Ma191","KENIKE","Gates",NA,NA,0.1078113741,0.03878387011,1.014152,4,"Landrace","Guinea","Mali",NA,NA,NA,NA,NA
"892","JBQX","Mal192_507",NA,NA,"Ma192","BOUGOURINT","Gates",NA,NA,0.1124038842,0.01842701794,1.147503,20,"Landrace","Guinea","Mali",NA,NA,NA,NA,NA
"893","IZHE","Mal197_475",NA,NA,"Ma197","MAKA KENIKE","Gates",NA,NA,0.0953123048,0.01614241584,1.038692,5,"Landrace","Bicolor","Mali",NA,NA,NA,NA,NA
"894","JBQY","Mal198_487",NA,NA,"Ma198","SOTTODJE","Gates",NA,NA,0.08508284152,0.05785999356,0.808274,4,"Landrace",NA,"Mali",NA,NA,NA,NA,NA
"895","IZHF","Mal199_470",NA,NA,"Ma199","ROUGA HOMO SORGHO","Gates",NA,NA,0.08314209198,0.01475514509,1.046678,9,"Landrace","Caudatum","Mali",NA,NA,NA,NA,NA
"896","IZHG","Mal202_486",NA,NA,"Ma202","HOMO THIRE","Gates",NA,NA,0.1049905959,0.01905114527,1.175866,14,"Landrace","Guinea","Mali",NA,NA,NA,NA,NA
"897","JBQZ","Mal203_514",NA,NA,"Ma203","ALBAKARI","Gates",NA,NA,0.1139394074,0.02093221508,1.207094,17,"Landrace","Guinea-durra","Mali",NA,NA,NA,NA,NA
"898","JBRA","Mal209_519",NA,NA,"Ma209","SOTTO","Gates",NA,NA,0.1118065961,0.02072500133,1.162241,17,"Landrace","Guinea-durra","Mali",NA,NA,NA,NA,NA
"899","IZHR","Ni010_144",NA,"IS41786","Ni010","Gogué Gaari Kirey","Gates",NA,NA,0.121190583,0.02272257969,1.181623,8,"Landrace","Durra","Niger","Taka",NA,NA,NA,NA
"900","IZHT","Ni025_250",NA,"IS41821","Ni025","Darza","Gates",NA,NA,0.1196042575,0.02133028678,1.307154,20,"Landrace",NA,"Niger","Danbanguiro",NA,NA,NA,NA
"901","JBRD","Ni039_113",NA,"IS41851","Ni039","Asi Ma Haou Héni","Gates",NA,NA,0.1155140861,0.02195271631,1.333603,20,"Landrace","Caudatum","Niger","Margou",NA,NA,NA,NA
"902","IZHU","Ni041_248",NA,"IS41853","Ni041","Dosso Koubou 1","Gates",NA,NA,0.08845434825,0.02705206059,1.047144,9,"Landrace","Caudatum","Niger","Margou",NA,NA,NA,NA
"903","IZHW","Ni048_191",NA,"IS41870","Ni048","Hamo WASAPsa Tageo","Gates",NA,NA,0.1131407678,0.02086596241,1.327966,20,"Landrace","Guinea","Niger","Tenda",NA,NA,NA,NA
"904","JBRE","Ni049_268",NA,"IS41872","Ni049","Waïhigui Hawi Bey","Gates",NA,NA,0.1245541865,0.02399196496,1.398864,20,"Landrace","Durra","Niger","Tenda",NA,NA,NA,NA
"905","IZHX","Ni051_179",NA,"IS41881","Ni051","Jan Jaré","Gates",NA,NA,0.1226037036,0.02249846263,1.306234,20,"Landrace","Caudatum","Niger","Lido",NA,NA,NA,NA
"906","IZHY","Ni052_147",NA,"IS41887","Ni052","Takanda","Gates",NA,NA,0.101417294,0.01849816272,1.087313,5,"Landrace","Caudatum","Niger","Kiessé",NA,NA,NA,NA
"907","JBRF","Ni055_143",NA,"IS41891","Ni055","Guerguéra Dawa","Gates",NA,NA,0.08975671304,0.02613249053,1.041421,9,"Landrace","Caudatum","Niger","Kiessé",NA,NA,NA,NA
"908","JBRG","Ni060_184",NA,"IS41909","Ni060","Hamo Koirey","Gates",NA,NA,0.11108746,0.02059461874,1.327544,20,"Landrace","Caudatum","Niger","Falwel",NA,NA,NA,NA
"909","JBRH","Ni070_226",NA,"IS41942","Ni070","Sodou Nebbam","Gates",NA,NA,0.07149091166,0.06289021729,0.603776,8,"Landrace","Caudatum","Niger","Tamou",NA,NA,NA,NA
"910","JBRI","Ni073_115",NA,"IS41947","Ni073","Jan Jaré","Gates",NA,NA,0.1152138753,0.02061745296,1.137212,19,"Landrace",NA,"Niger","Tamou",NA,NA,NA,NA
"911","JBRJ","Ni074_194",NA,"IS41949","Ni074","Hamo Kirey","Gates",NA,NA,0.1116918194,0.01871486693,1.190723,13,"Landrace",NA,"Niger","Koné Béri",NA,NA,NA,NA
"912","JBRK","Ni081_135",NA,"IS41971","Ni081","El Bazanga","Gates",NA,NA,0.08643978001,0.03997672792,0.923992,20,"Landrace","Caudatum-bicolor","Niger","Yaya",NA,NA,NA,NA
"913","IZHH","Ni094_186",NA,"IS41996","Ni094","Koutagué Fara","Gates",NA,NA,0.07641607733,0.02771519916,0.973397,9,"Landrace","Caudatum-bicolor","Niger","Mogueur",NA,NA,NA,NA
"914","JBRL","Ni095_164",NA,"IS41997","Ni095","El Kamba","Gates",NA,NA,0.1118132515,0.02681372752,1.315386,20,"Landrace","Durra-guinea","Niger","Mogueur",NA,NA,NA,NA
"915","JBRN","Ni097_227",NA,"IS42000","Ni097","Koutagué","Gates",NA,NA,0.1013050408,0.03905973473,1.045835,20,"Landrace","Durra","Niger","Afala",NA,NA,NA,NA
"916","IZHZ","Ni108_120",NA,"IS42041","Ni108","Jan Jaré","Gates",NA,NA,0.1126759485,0.0330571699,1.058497,8,"Landrace","Caudatum","Niger","Ibohamane",NA,NA,NA,NA
"917","JBRP","Ni110_270",NA,"IS42046","Ni110","Tagaza Fara","Gates",NA,NA,0.1235924914,0.02365678898,1.400041,20,"Landrace","Caudatum","Niger","Déoulé",NA,NA,NA,NA
"918","JBRQ","Ni111_303",NA,"IS42049","Ni111","Tallabani","Gates",NA,NA,0.1164987698,0.01917924308,1.209593,13,"Landrace","Caudatum","Niger","Déoulé",NA,NA,NA,NA
"919","IZIA","Ni117_116",NA,"IS42071","Ni117","Agé Bétchi","Gates",NA,NA,0.1293496842,0.02311439088,1.336098,20,"Landrace","Caudatum","Niger","Azarori",NA,NA,NA,NA
"920","IZIB","Ni120_309",NA,"IS42087","Ni120","Bagoba","Gates",NA,NA,0.08585946301,0.01525272819,1.0666,5,"Landrace","Durra-caudatum","Niger","Bagaroua",NA,NA,NA,NA
"921","IZIC","Ni122_154",NA,"IS42091","Ni122","Hakorin Karoua","Gates",NA,NA,0.09133452528,0.01490706651,1.16453,9,"Landrace","Caudatum","Niger","Madarounfa",NA,NA,NA,NA
"922","IZID","Ni123_275",NA,"IS42095","Ni123","Mota","Gates",NA,NA,0.07686459108,0.04672039694,0.788864,9,"Landrace","Caudatum","Niger","Madarounfa",NA,NA,NA,NA
"923","IZIE","Ni135_278",NA,"IS42173","Ni135","Féronim Goyam","Gates",NA,NA,0.1010728807,0.01831307961,1.041013,9,"Landrace","Caudatum","Niger","Chéri",NA,NA,NA,NA
"924","IZJA","Ni331_109",NA,NA,"Ni331",NA,"Gates",NA,NA,0.1062049994,0.02258587208,1.122786,9,"Landrace",NA,"Niger",NA,NA,NA,NA,NA
"925","IZJB","Ni343_155",NA,NA,"Ni343",NA,"Gates",NA,NA,0.113511747,0.0272884325,1.337227,20,"Landrace",NA,"Niger",NA,NA,NA,NA,NA
"926","IZJC","Ni344_225",NA,NA,"Ni344",NA,"Gates",NA,NA,0.09470633705,0.02471916314,1.10911,9,"Landrace",NA,"Niger",NA,NA,NA,NA,NA
"927","IZJD","Ni355_098",NA,NA,"Ni355",NA,"Gates",NA,NA,0.101191817,0.01824204295,1.16289,14,"Landrace",NA,"Niger",NA,NA,NA,NA,NA
"928","IZJE","Ni364_210",NA,NA,"Ni364",NA,"Gates",NA,NA,0.1073232889,0.02087784809,1.182974,17,"Landrace",NA,"Niger",NA,NA,NA,NA,NA
"929","JBRU","Sen002",NA,NA,"Sn002","Baningmongo","Gates",NA,NA,0.06969081142,0.06357688771,0.603626,8,"Landrace","Guinea","Senegal",NA,NA,NA,NA,NA
"930","JBRW","Sen003_043",NA,NA,"Sn003","Bassi S4","Gates",NA,NA,0.1075517608,0.02099337579,1.196258,17,"Landrace","Guinea","Senegal",NA,NA,NA,NA,NA
"931","JBRX","Sen008",NA,NA,"Sn008","Congossané","Gates",NA,NA,0.1089157983,0.02004859263,1.1768,17,"Landrace","Guinea","Senegal",NA,NA,NA,NA,NA
"932","IZJF","Sen023_024",NA,NA,"Sn023","Flattie Ba","Gates",NA,NA,0.1080660514,0.02027339611,1.205383,17,"Landrace","Guinea","Senegal","M'Pesoba (Mali)",NA,NA,NA,NA
"933","IZHI","Sen024_040",NA,NA,"Sn024","Kénélé","Gates",NA,NA,0.1076568595,0.01929980836,1.196984,17,"Landrace","Guinea","Senegal","Farako Bâ (Haute Volta)",NA,NA,NA,NA
"934","IZHJ","Sen028_007",NA,NA,"Sn028","Héguéri","Gates",NA,NA,0.1084673123,0.01713320591,1.064407,19,"Landrace","Guinea","Senegal",NA,NA,NA,NA,NA
"935","JBSH","Sen039_069",NA,NA,"Sn039","Sévil","Gates",NA,NA,0.1190347276,0.0231772865,1.267818,8,"Landrace","Guinea","Senegal","Fleuve Senegal",NA,NA,NA,NA
"936","JBSJ","Sen044_038",NA,NA,"Sn044","Sorgho  Sud","Gates",NA,NA,0.09780855251,0.01655567635,1.016317,5,"Landrace","Guinea","Senegal","Sodeva Bambey",NA,NA,NA,NA
"937","IZJG","Sen045_012",NA,NA,"Sn045","Wan Bassi","Gates",NA,NA,0.1076857548,0.02089335228,1.038334,19,"Landrace","Guinea","Senegal",NA,NA,NA,NA,NA
"938","IZJJ","Sen057_083",NA,NA,"Sn057","SL  179","Gates",NA,NA,0.1117271204,0.02011588491,1.156123,17,"Landrace","Guinea","Senegal",NA,NA,NA,NA,NA
"939","JBSN","Sen059_2",NA,NA,"Sn059","SL   591","Gates",NA,NA,0.08047868457,0.02916663412,0.983506,17,"Landrace","Guinea","Senegal",NA,NA,NA,NA,NA
"940","IZHL","Sen060_058",NA,NA,"Sn060","SL  456","Gates",NA,NA,0.1076329281,0.02084227071,1.247418,17,"Landrace","Guinea","Senegal",NA,NA,NA,NA,NA
"941","JBSQ","Sen061_097",NA,NA,"Sn061","SL  646","Gates",NA,NA,0.09284994381,0.01667891815,1.062917,14,"Landrace","Guinea","Senegal",NA,NA,NA,NA,NA
"942","IZJL","Sen072_078",NA,NA,"Sn072","SL   516","Gates",NA,NA,0.1366546016,0.01629765275,1.146043,17,"Landrace","Guinea","Senegal",NA,NA,NA,NA,NA
"943","IZHM","Sen073_004",NA,NA,"Sn073","Sans nom SEN1","Gates",NA,NA,0.1172320762,0.02750241952,1.237021,17,"Landrace","Guinea","Senegal",NA,NA,NA,NA,NA
"944","JBSR","Sen077_077",NA,NA,"Sn077","92-58","Gates",NA,NA,0.1003825012,0.05365841344,1.464109,17,"Landrace","Guinea","Senegal",NA,NA,NA,NA,NA
"945","IZJM","Sen089_005",NA,NA,"Sn089","57-28","Gates",NA,NA,0.1115068845,0.02229093859,1.17774,8,"Landrace","Guinea-caudatum","Senegal","Florentus Sourenço Mozambique)",NA,NA,NA,NA
"946","IZJN","Sen091_023",NA,NA,"Sn091","56-15","Gates",NA,NA,0.1137637621,0.02161554421,1.075233,19,"Landrace","Guinea","Senegal","Cameroun",NA,NA,NA,NA
"947","IZJP","Sen113_051",NA,NA,"Sn113","SL 291","Gates",NA,NA,0.1176584887,0.02245628033,1.311377,4,"Landrace","Guinea","Senegal",NA,NA,NA,NA,NA
"948","JBST","Tog041_463",NA,NA,"Tg041","Mouloukou coumè","Gates",NA,NA,0.1197015639,0.02377982259,1.334298,4,"Landrace","Guinea","Togo","Kawa",NA,NA,NA,NA
"949","IZJX","Tog128_462",NA,NA,"Tg128",NA,"Gates",NA,NA,0.09138211089,0.01716418241,1.119004,5,"Landrace","Guinea","Togo",NA,NA,NA,NA,NA
"950","IZJY","Tog129_428",NA,NA,"Tg129",NA,"Gates",NA,NA,0.1172150496,0.02383299573,1.392557,4,"Landrace","Bicolor-guinea","Togo",NA,NA,NA,NA,NA
"951","IZJZ","Tog144_444",NA,NA,"Tg144",NA,"Gates",NA,NA,0.1182139591,0.02254637368,1.346042,4,"Landrace","Caudatum","Togo",NA,NA,NA,NA,NA
"952","IZKA","Tog150_314",NA,NA,"Tg150",NA,"Gates",NA,NA,0.1169482541,0.01969767255,1.077537,8,"Landrace","Guinea","Togo",NA,NA,NA,NA,NA
"953","INSS","7787_AGG324559SORG","AGG324559SORG","IS36633",NA,"Selection of IS 3413","Gates",NA,NA,0.09543736954,0.01654155475,1.047737,5,"Breeding",NA,"India",NA,NA,NA,NA,NA
"954","INSY","PI527440","AGG324566SORG","IS31693",NA,"S. bicolor 71; PI 527440","Gates",NA,NA,0.1037649338,0.02039163817,1.340563,16,"Landrace",NA,"Algeria",NA,NA,NA,NA,NA
"955","INTB","PI527428","AGG324573SORG","IS31681",NA,"S. bicolor 15; PI 527428","Gates",NA,NA,0.1334968141,0.02344052452,1.392459,3,"Landrace",NA,"Algeria",NA,NA,NA,NA,NA
"956","INTE","7798_AGG324577SORG","AGG324577SORG","IS30503",NA,"SOG 98","Gates",NA,NA,0.1170038261,0.02076247569,1.249017,15,"Landrace",NA,"North Korea",NA,NA,NA,NA,NA
"957","INTG","7800_AGG324581SORG","AGG324581SORG","IS29606",NA,"Arnold 1757","Gates",NA,NA,0.09276772276,0.01657283999,1.129855,16,"Landrace",NA,"South Africa",NA,NA,NA,NA,NA
"958","INTQ","7809_AGG324594SORG","AGG324594SORG","IS24072",NA,"TLSC 243-2","Gates",NA,NA,0.1021288042,0.01839734329,1.236943,7,"Landrace",NA,"Tanzania",NA,NA,NA,NA,NA
"959","INTR","7810_AGG324596SORG","AGG324596SORG","IS23777",NA,"MW 80-444","Gates",NA,NA,0.1044224249,0.01929568735,1.202857,7,"Landrace",NA,"Malawi",NA,NA,NA,NA,NA
"960","INTS","7811_AGG324608SORG","AGG324608SORG","IS23254",NA,NA,"Gates",NA,NA,0.1140368802,0.022849163,1.316423,7,"Landrace",NA,"Zambia",NA,NA,NA,NA,NA
"961","INTW","7814_AGG324613SORG","AGG324613SORG","IS18800",NA,"S. verticilliflorum","Gates",NA,NA,0.1396608139,0.02906684425,1.525696,12,"Wild",NA,"South Africa",NA,NA,NA,NA,NA
"962","INTX","7815_AGG324617SORG","AGG324617SORG","IS16396",NA,"4-2-11-2-A","Gates",NA,NA,0.1219613811,0.02187732802,1.344326,4,"Landrace",NA,"Cameroon",NA,NA,NA,NA,NA
"963","INTZ","7817_AGG324620GORG","AGG324620SORG","IS21849",NA,"HD 298","Gates",NA,NA,0.1805448912,0.03480567949,2.320364,10,"Landrace",NA,"Sierra Leone",NA,NA,NA,NA,NA
"964","INUA","7818_AGG324621SORG","AGG324621SORG","IS21691",NA,"HD 279","Gates",NA,NA,0.1105824869,0.02024152344,1.314996,16,"Wild",NA,"Niger",NA,NA,NA,NA,NA
"965","INUB","7819_AGG324631SORG","AGG324631SORG","IS20097",NA,"BIS 1974","Gates",NA,NA,0.1072006644,0.02010620916,1.219678,17,"Landrace",NA,"Senegal",NA,NA,NA,NA,NA
"966","INUE","7822_AGG324636SORG","AGG324636SORG","IS19466",NA,"EC 121363; Mardakadawala x Combine bulk Kafir (CK 60 B)","Gates",NA,NA,0.1299121982,0.02711091055,1.848922,10,"Landrace",NA,"Sri Lanka",NA,NA,NA,NA,NA
"967","INUF","7823_AGG324637SORG","AGG324637SORG","IS19455",NA,NA,"Gates",NA,NA,0.1016296545,0.01927005835,1.150416,7,"Landrace",NA,"Botswana",NA,NA,NA,NA,NA
"968","INUK","7828_AGG324643SORG","AGG324643SORG","IS20709",NA,"HDW 128","Gates",NA,NA,0.1102792257,0.01847315106,1.123707,5,"Landrace",NA,"United States",NA,NA,NA,NA,NA
"969","INUL","7829_AGG324644SORG","AGG324644SORG","IS20727",NA,"HDW 304","Gates",NA,NA,0.1312975882,0.0246081919,1.480857,3,"Landrace",NA,"United States",NA,NA,NA,NA,NA
"970","INUM","7830_AGG324645SORG","AGG324645SORG","IS20763",NA,"HDW 109","Gates",NA,NA,0.1144572475,0.01798064092,1.114823,19,"Landrace",NA,"United States",NA,NA,NA,NA,NA
"971","INUP","7832_AGG324651SORG","AGG324651SORG","IS14571",NA,NA,"Gates",NA,NA,0.1577526339,0.02608552273,1.510473,12,"Wild",NA,"Kenya",NA,NA,NA,NA,NA
"972","IZKX","AGG324663SORG","AGG324663SORG","IS18813",NA,"S. virgatum","Gates",NA,NA,0.1350424589,0.02979060171,1.523481,12,"Wild",NA,"Egypt",NA,NA,NA,NA,NA
"973","INUS","7835_AGG324664SORG","AGG324664SORG","IS18868",NA,"HW 558","Gates",NA,NA,0.4692482597,0.05743162701,1.244995,12,"Wild",NA,"United States",NA,NA,NA,NA,NA
"974","INUT","7836_AGG324666SORG","AGG324666SORG","IS19418",NA,"MT 129","Gates",NA,NA,0.09964387055,0.02100866283,1.034191,5,"Landrace",NA,"Ethiopia",NA,NA,NA,NA,NA
"975","INUU","7837_AGG324678SORG","AGG324678SORG","IS14414",NA,NA,"Gates",NA,NA,0.1046649839,0.01932637401,1.197644,7,"Landrace",NA,"Malawi",NA,NA,NA,NA,NA
"976","INUW","7838_AGG324681SORG","AGG324681SORG","IS14216",NA,NA,"Gates",NA,NA,0.1264165696,0.02241410353,1.335921,5,"Wild",NA,"Angola",NA,NA,NA,NA,NA
"977","IQSU","IS_25207","Grif10083","IS25207",NA,"Acc 70950","Gates",NA,NA,0.1350264861,0.02203593853,1.430212,11,"Landrace",NA,"Ethiopia",NA,NA,NA,NA,NA
"978","IQSW","IS_25301","Grif10149","IS25301",NA,"Acc 72761","Gates",NA,NA,0.1290449256,0.02514678363,1.538477,11,"Landrace",NA,"Ethiopia",NA,NA,NA,NA,NA
"979","IQSX","IS_25442","Grif10259","IS25442",NA,"Sorg 142","Gates",NA,NA,0.09856531894,0.01673926196,1.029157,5,"Landrace",NA,"Kenya",NA,NA,NA,NA,NA
"980","IQSZ","IS_26815","Grif10983","IS26815",NA,"YSC 320-1","Gates",NA,NA,0.1053233624,0.02594706512,1.100235,5,"Landrace",NA,"Yemen",NA,NA,NA,NA,NA
"981","IQTC","IS_27786","Grif11481","IS27786",NA,"427","Gates",NA,NA,0.1202795793,0.01913243032,1.270362,2,"Landrace",NA,"Morocco",NA,NA,NA,NA,NA
"982","IQTD","IS_27791","Grif11484","IS27791",NA,NA,"Gates",NA,NA,0.1275425404,0.02085800598,1.168057,2,"Landrace",NA,"Germany",NA,NA,NA,NA,NA
"983","IQSM","IS_24481","Grif9590","IS24481",NA,"69733","Gates",NA,NA,0.06947903329,0.01614256532,1.134295,16,"Landrace",NA,"South Africa,Sierra Leone",NA,NA,NA,NA,NA
"984","IQSN","IS_24503","Grif9611","IS24503",NA,"71316","Gates",NA,NA,0.1969586531,0.02848649984,1.772039,12,"Landrace",NA,"South Africa,Sierra Leone",NA,NA,NA,NA,NA
"985","ISGU","IS_24913","Grif9936","IS24913",NA,"No. 1237-2","Gates",NA,NA,0.09892135134,0.01987490648,1.219814,16,"Landrace",NA,"Zambia",NA,NA,NA,NA,NA
"986","IQSR","IS_24940","Grif9956","IS24940",NA,"No. 2085","Gates",NA,NA,0.08624192261,0.01581129039,1.111725,1,"Landrace",NA,"Zambia",NA,NA,NA,NA,NA
"987","IQSS","IS_24953","Grif9965","IS24953",NA,"No. 2360","Gates",NA,NA,0.09069633465,0.02761371786,1.090517,7,"Landrace",NA,"Zambia",NA,NA,NA,NA,NA
"988","JBPK","PI702324","NSL103374","IS15428",NA,"2-1-6-7;PURDUE NO 49643","Gates",NA,NA,0.1026990827,0.019519276,1.089144,5,"Landrace",NA,"Cameroon",NA,NA,NA,NA,NA
"989","JBPL","IS18698","NSL365791","IS18698",NA,"ICRISAT Midge line -5","Gates",NA,NA,0.07483488197,0.06316384055,0.640842,2,"Breeding",NA,"United States,India",NA,NA,NA,NA,NA
"990","JHFN","PI702226","NSL92385","IS14351",NA,"HD-060","Gates",NA,NA,0.1101778152,0.02190941602,1.247737,7,"Landrace",NA,"Malawi",NA,NA,NA,NA,NA
"991","INJP","PI144134_Inyangentombi","PI144134",NA,NA,"Inyangentombi","BAP",NA,NA,0.07534027105,0.01282663039,1.068558,9,NA,NA,"KwaZulu-Natal",NA,NA,NA,NA,NA
"992","INJQ","PI145619_ISIDOMBA","PI145619","ISIDOMBA",NA,"ISIDOMBA","BAP",NA,NA,0.08131426119,0.01252451589,1.155873,16,NA,"Caudatum","South Africa",NA,NA,NA,NA,NA
"993","INJR","PI145626_Manyoble","PI145626",NA,NA,"Manyoble","BAP",NA,NA,0.08071128834,0.01406923622,1.217756,16,NA,"Kafir-bicolor","South Africa",NA,NA,NA,NA,NA
"994","INJS","PI145632_TEGEVINI","PI145632",NA,NA,"TEGEVINI","BAP",NA,NA,0.08926227752,0.01521021189,1.177718,16,NA,NA,"South Africa",NA,NA,NA,NA,NA
"995","INJT","PI145633_Tugela_Ferry","PI145633",NA,NA,"Tugela Ferry","BAP",NA,NA,0.08442865036,0.01422179601,1.150449,16,NA,NA,"South Africa",NA,NA,NA,NA,NA
"996","IDYQ","PI146890","PI146890",NA,NA,"SUGAR DRIP","BAP",NA,NA,0.09349645361,0.009720548531,1.149991,16,NA,NA,"Democratic Republic of the Congo",NA,NA,NA,NA,NA
"997","IFIT","PI147224","PI147224",NA,NA,"B. 35","BAP",NA,NA,0.06896463178,0.009092888685,1.121352,16,NA,NA,"India",NA,NA,NA,NA,NA
"998","SRR8474782","SRR8474782","PI148084",NA,NA,"Amelsie","TERRA_new",NA,NA,0.4837883522,0.02179994538,0.473924,20,NA,"Durra","Ethiopia",NA,NA,NA,NA,NA
"999","SRR8474692","SRR8474692","PI148114","IS12561",NA,"MN 700; PI 148114; SC 0041; EC 596695","TERRA_new",NA,NA,0.4203331408,0.01571038993,0.833944,18,"Breeding","Durra","Ethiopia",NA,NA,NA,NA,NA
"1000","IFEE","PI152651","PI152651",NA,NA,"Feterita Geshaish","BAP","unresolved",NA,0.07581898336,0.01155248843,1.151078,16,NA,NA,"Sudan",NA,NA,NA,NA,NA
"1001","SAMEA12302664","PI152651","PI152651",NA,NA,"Feterita Geshaish","SAP","unresolved",NA,0.1274197773,0.01328540962,0.99574,19,NA,NA,"Sudan",NA,NA,NA,NA,NA
"1002","INJU","PI152694_Kafir_Slongi","PI152694",NA,NA,"Kafir Slongi","BAP",NA,NA,0.09503039614,0.0150606095,1.07278,5,NA,NA,"Kordofan,Sudan",NA,NA,NA,NA,NA
"1003","ISJD","PI152727","PI152727",NA,NA,"Malwal Tonj","BAP",NA,NA,0.09783974937,0.01793275487,1.196402,1,NA,"Guinea-bicolor","Kenya",NA,NA,NA,NA,NA
"1004","IFLR","PI152728","PI152728",NA,NA,"MANALEK","BAP",NA,NA,0.1228067466,0.01929370607,1.281129,13,NA,"Durra","Sudan",NA,NA,NA,NA,NA
"1005","ISKI","PI152730","PI152730",NA,NA,"MATCHIKAH 1","BAP","keep",NA,0.1218964916,0.02490755261,1.248438,19,NA,"Caudatum,Caudatum-bicolor","Kenya,Sudan",NA,NA,NA,NA,NA
"1006","IFFZ","PI152733","PI152733",NA,NA,"MERISSA (BARI)","BAP",NA,NA,0.1104348218,0.01825648692,1.024738,5,NA,"Caudatum","Sudan",NA,NA,NA,NA,NA
"1007","INJW","PI152751_NYTWAL","PI152751",NA,NA,"NYTWAL","BAP","unresolved",NA,0.09347385322,0.015787353,1.056083,5,NA,"Guinea-caudatum","Sudan",NA,NA,NA,NA,NA
"1008","INJX","PI152771_RAHMETALLA_GALLABAT","PI152771",NA,NA,"RAHMETALLA GALLABAT","BAP",NA,NA,0.1029694,0.01732734819,1.083073,5,NA,NA,"Sudan",NA,NA,NA,NA,NA
"1009","INJY","PI152816_WAD_FU_WHITE","PI152816",NA,NA,"WAD FUR WHITE","BAP",NA,NA,0.09983978681,0.0181903067,1.036998,5,NA,NA,"Sudan",NA,NA,NA,NA,NA
