"","LIB","Sample","PInumber","ISnum","WASAP","PlantName","Population","DuplicateLIBdecision","FilterMissing","Proportion.Missing","Proportion.Heterozygous","InbreedCoefficent","Kmeans_cluster","Germplasm","BotanicalType","CountryOrigin","Region","lat","lon","Elevation","Latitude"
"441","IZKD","PI563343","PI563343","IS10139",NA,"IS10139","Gates",NA,NA,0.1091683403,0.02027376553,1.193287,17,"Landrace,Cultivated","Guinea-durra","Burkina Faso",NA,13.579999,-2.417089,NA,13.57999992
"442","IQTH","IS_31861",NA,"IS31861",NA,"YSC 2293","Gates",NA,NA,0.1069591037,0.04925053653,1.077816,2,"Landrace",NA,"Yemen",NA,13.590001,44.520004,190,NA
"443","INTT","7812_AGG324610SORG","AGG324610SORG","IS23645",NA,NA,"Gates",NA,NA,0.1760217907,0.03718746872,2.394625,10,"Landrace",NA,"Gambia",NA,13.659999,-15.399999,NA,NA
"444","IFFD","PI330196","PI330196","IS11914",NA,"IS11914","BAP",NA,NA,0.1330992968,0.0342439418,1.348098,11,"Landrace",NA,"Ethiopia",NA,13.680001,39.580001,2200,13.68000031
"445","JHHN","PI609200","PI609200","IS26149",NA,"IS26149","Gates",NA,NA,0.1073166613,0.02163022457,1.229057,17,"Landrace,Cultivated","Guinea","Mali",NA,13.710001,-6.409999,NA,13.71000004
"446","IPCC","PI513471","PI513471",NA,NA,"Elmalambala","Gates",NA,NA,0.1194865413,0.0197142699,1.255048,13,"Cultivar","Caudatum","Niger",NA,13.71221,9.159453,NA,13.71221
"447","IZHS","Ni016_245",NA,"IS41801","Ni016","Silia","Gates",NA,NA,0.1181787691,0.02461178651,1.343865,20,"Landrace","Durra-bicolor","Niger","Baleyara",13.7838,2.9523,NA,NA
"448","IZKJ","PI513807","PI513807",NA,NA,"Bogoba","Gates",NA,NA,0.1221450959,0.02063347842,1.188048,13,"Cultivar","Caudatum-bicolor","Niger",NA,13.84295,4.050269,NA,13.84295
"449","IXPL","PI513665","PI513665",NA,NA,"Jenjari","Gates",NA,NA,0.09786989247,0.02359347212,1.118273,9,"Cultivar","Caudatum","Niger, Nigeria",NA,13.85000038,4.849999905,NA,13.85000038
"450","IXMW","PI513611","PI513611",NA,NA,"Darza","Gates",NA,NA,0.1194076757,0.02229780289,1.243547,13,"Cultivar","Caudatum-bicolor","Niger",NA,13.891436,6.181868,NA,13.891436
"451","IYYN","PI513676","PI513676",NA,NA,"Matche-Dakomia","GatesRef",NA,NA,0.1266361677,0.01721180834,1.239378,13,"Cultivar",NA,"Niger",NA,13.893812,5.344241,NA,13.893812
"452","IXPX","PI514390","PI514390",NA,NA,"Nieniko","Gates",NA,NA,0.103655204,0.02590186961,1.161482,17,"Cultivar","Guinea","Senegal",NA,13.93000031,-13.43000031,NA,13.93000031
"453","IXMQ","PI513474","PI513474",NA,NA,"Mouji","Gates",NA,NA,0.1144127122,0.02308685104,1.240228,13,"Cultivar","Caudatum-bicolor","Niger",NA,13.94999981,10.25,NA,13.94999981
"454","IXMP","PI513419","PI513419",NA,NA,"Feronomgoyam","Gates",NA,NA,0.1130239114,0.02304710695,1.23817,13,"Cultivar","Caudatum","Niger",NA,13.94999981,11.31000042,NA,13.94999981
"455","IXND","PI513833","PI513833",NA,NA,"Abora","Gates",NA,NA,0.1095071798,0.02280303301,1.098505,8,"Cultivar","Durra-caudatum","Niger",NA,14.006401,3.210611,NA,14.006401
"456","IXNC","PI513809","PI513809",NA,NA,"Bogoba","Gates","keep",NA,0.1070411029,0.02191254441,1.158438,13,"Cultivar","Caudatum-bicolor","Niger",NA,14.02999973,4.210000038,NA,14.02999973
"457","INWA","PI217674","PI217674","IS2262",NA,"BEID EL KEBISH","Gates",NA,NA,0.1026906527,0.01682419312,1.055227,5,"Landrace","Caudatum","Sudan",NA,14.033333,35.383333,580,14.033333
"458","IPDM","PI569007","PI569007","IS14449",NA,"IS14449","Gates",NA,NA,0.07803701056,0.01253651171,1.136393,8,"Landrace,Cultivated",NA,"Sudan",NA,14.033333,35.383333,580,14.033333
"459","IPEL","PI571370","PI571370","IS14446",NA,"IS14446","Gates",NA,NA,0.1084369751,0.01722820331,1.034793,19,"Landrace","Caudatum","Sudan",NA,14.033333,35.383333,580,14.033333
"460","IFJX","PI330195","PI330195","IS11913",NA,"IS11913","BAP",NA,NA,0.1299585359,0.0231980088,1.517125,11,"Landrace",NA,"Ethiopia",NA,14.050001,39.560001,NA,14.05000019
"461","SAMEA12302803","PI534116","PI534116",NA,NA,"Mashica","SAP",NA,NA,0.153488287,0.01961866761,1.532849,11,"Breeding","Durra-bicolor","Ethiopia",NA,14.13000011,38.70999908,NA,NA
"462","SAMEA12302476","PI576381","PI576381",NA,NA,"Mashica","SAP",NA,NA,0.1320748752,0.02279461687,1.135607,18,"Breeding",NA,"Ethiopia",NA,14.13000011,38.70999908,NA,NA
"463","IXNM","PI329813","PI329813","IS11548",NA,"IS11548","Gates",NA,NA,0.1171537374,0.02326950304,1.181789,18,"Landrace",NA,"Ethiopia",NA,14.131781,38.714081,2100,14.13000011
"464","SRR8474634","SRR8474634","PI330886","IS12170",NA,"Col. No. P 609; PI 330886","TERRA_new",NA,NA,0.4869204057,0.01461356489,0.652754,18,"Landrace","Durra","Ethiopia",NA,14.131781,38.714081,2100,NA
"465","SRR8474635","SRR8474635","PI330887","IS12171",NA,"Col. No. P 610; PI 330887","TERRA_new",NA,NA,0.3507143179,0.01459458065,0.848984,18,"Landrace","Durra","Ethiopia",NA,14.131781,38.714081,2100,NA
"466","ISGW","PI511154","PI511154",NA,NA,"Dhirah Hamra","Gates",NA,NA,0.08911269899,0.01646655029,1.028488,14,"Landrace",NA,"Yemen",NA,14.13333333,43.4,190,NA
"467","INLX","PI329465_IS_11222","PI329465","IS11222",NA,"IS11222","BAP",NA,NA,0.1381959204,0.02365598823,1.552508,11,"Landrace",NA,"Ethiopia",NA,14.159361,38.900742,2300,9.399999619
"468","IFJH","PI329466","PI329466","IS11223",NA,"IS11223","BAP",NA,NA,0.1144073602,0.05041896133,0.999379,18,"Landrace",NA,"Ethiopia",NA,14.159361,38.900742,2300,9.399999619
"469","IZLA","PI514319","PI514319",NA,NA,"Nieniko","Gates",NA,NA,0.1030888909,0.02361750719,1.132172,17,"Cultivar","Guinea","Senegal",NA,14.16,-16.03,NA,14.16
"470","JBSM","Sen050_73",NA,NA,"Sn050","Weydé 2","Gates",NA,NA,0.1187672666,0.02436455305,1.166439,17,"Landrace","Guinea","Senegal","Kaolack",14.183,-16.25,NA,NA
"471","IFLZ","PI474825","PI474825","IS28175",NA,"IS28175","BAP",NA,NA,0.1275413202,0.01964241579,1.231999,2,"Landrace","Durra-caudatum","Yemen",NA,14.185833,44.276944,2800,14.185833
"472","IXRC","PI563483","PI563483","IS12339",NA,"IS12339","Gates",NA,NA,0.1794654245,0.02167088369,1.172686,18,"Landrace,Cultivated","Guinea-caudatum","Senegal",NA,14.210001,-16.549999,NA,14.21000004
